scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,238.3444,235.961,238.3444,1-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.961,1/1/2013,238.3444,238.3444,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.4858,237.0909,239.4858,2-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.0909,1/2/2013,239.4858,239.4858,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.4566,238.052,240.4566,3-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.052,1/3/2013,240.4566,240.4566,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.8963,238.4873,240.8963,4-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.4873,1/4/2013,240.8963,240.8963,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.7371,238.3297,240.7371,7-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.3297,1/7/2013,240.7371,240.7371,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.9414,238.532,240.9414,8-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.532,1/8/2013,240.9414,240.9414,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.8438,238.4354,240.8438,9-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.4354,1/9/2013,240.8438,240.8438,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.33,237.9267,240.33,10-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.9267,1/10/2013,240.33,240.33,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.8757,237.4769,239.8757,11-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.4769,1/11/2013,239.8757,239.8757,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,242.8379,240.4095,242.8379,14-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,240.4095,1/14/2013,242.8379,242.8379,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,244.1015,241.6605,244.1015,15-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.6605,1/15/2013,244.1015,244.1015,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,241.9948,239.5749,241.9948,16-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.5749,1/16/2013,241.9948,241.9948,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,243.8084,241.3703,243.8084,17-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.3703,1/17/2013,243.8084,243.8084,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,243.9342,241.4949,243.9342,18-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.4949,1/18/2013,243.9342,243.9342,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,244.28,241.8372,244.28,21-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.8372,1/21/2013,244.28,244.28,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,243.1905,240.7586,243.1905,22-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,240.7586,1/22/2013,243.1905,243.1905,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,243.7621,241.3245,243.7621,23-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.3245,1/23/2013,243.7621,243.7621,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,241.8229,239.4047,241.8229,24-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.4047,1/24/2013,241.8229,241.8229,,,,,,,,,,
