scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,Return,Variance,SD,NIFTY 50 Return,Var N50,SD  Nifty
118531,Franklin India Bluechip Fund- Direct - Growth,238.3444,235.961,238.3444,1-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.961,1/1/2013,238.3444,238.3444,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,239.4858,237.0909,239.4858,2-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.0909,1/2/2013,239.4858,239.4858,0.48%,7.99821E-10,2.82811E-05,0.735%,2.02983E-07,0.000450537
118531,Franklin India Bluechip Fund- Direct - Growth,240.4566,238.052,240.4566,3-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.052,1/3/2013,240.4566,240.4566,0.41%,2.13609E-09,4.62179E-05,0.413%,6.93082E-08,0.000263265
118531,Franklin India Bluechip Fund- Direct - Growth,240.8963,238.4873,240.8963,4-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.4873,1/4/2013,240.8963,240.8963,0.18%,5.01845E-10,2.24019E-05,0.023%,2.20389E-10,1.48455E-05
118531,Franklin India Bluechip Fund- Direct - Growth,240.7371,238.3297,240.7371,7-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.3297,1/7/2013,240.7371,240.7371,-0.07%,6.55573E-11,8.09675E-06,0.020%,1.69345E-10,1.30133E-05
118531,Franklin India Bluechip Fund- Direct - Growth,240.9414,238.532,240.9414,8-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.532,1/8/2013,240.9414,240.9414,0.08%,1.08121E-10,1.03981E-05,-0.377%,5.83648E-08,0.000241588
118531,Franklin India Bluechip Fund- Direct - Growth,240.8438,238.4354,240.8438,9-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.4354,1/9/2013,240.8438,240.8438,-0.04%,2.46378E-11,4.96365E-06,-0.062%,1.59008E-09,3.98758E-05
118531,Franklin India Bluechip Fund- Direct - Growth,240.33,237.9267,240.33,10-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.9267,1/10/2013,240.33,240.33,-0.21%,6.83452E-10,2.61429E-05,-0.086%,3.02612E-09,5.50101E-05
118531,Franklin India Bluechip Fund- Direct - Growth,239.8757,237.4769,239.8757,11-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.4769,1/11/2013,239.8757,239.8757,-0.19%,5.36693E-10,2.31666E-05,-0.031%,4.0742E-10,2.01846E-05
118531,Franklin India Bluechip Fund- Direct - Growth,242.8379,240.4095,242.8379,14-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,240.4095,1/14/2013,242.8379,242.8379,1.23%,2.29075E-08,0.000151352,0.230%,2.20954E-08,0.000148645
118531,Franklin India Bluechip Fund- Direct - Growth,244.1015,241.6605,244.1015,15-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.6605,1/15/2013,244.1015,244.1015,0.52%,4.06793E-09,6.37803E-05,0.861%,3.09908E-07,0.000556694
118531,Franklin India Bluechip Fund- Direct - Growth,241.9948,239.5749,241.9948,16-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.5749,1/16/2013,241.9948,241.9948,-0.86%,1.11922E-08,0.000105793,-0.360%,5.46039E-08,0.000233675
118531,Franklin India Bluechip Fund- Direct - Growth,243.8084,241.3703,243.8084,17-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.3703,1/17/2013,243.8084,243.8084,0.75%,8.44089E-09,9.18743E-05,-0.086%,3.14256E-09,5.60585E-05
118531,Franklin India Bluechip Fund- Direct - Growth,243.9342,241.4949,243.9342,18-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.4949,1/18/2013,243.9342,243.9342,0.05%,4.00172E-11,6.32591E-06,0.696%,2.05254E-07,0.000453049
118531,Franklin India Bluechip Fund- Direct - Growth,244.28,241.8372,244.28,21-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.8372,1/21/2013,244.28,244.28,0.14%,3.02101E-10,1.73811E-05,0.361%,5.55355E-08,0.00023566
118531,Franklin India Bluechip Fund- Direct - Growth,243.1905,240.7586,243.1905,22-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,240.7586,1/22/2013,243.1905,243.1905,-0.45%,2.99083E-09,5.46885E-05,-0.324%,4.48058E-08,0.000211674
118531,Franklin India Bluechip Fund- Direct - Growth,243.7621,241.3245,243.7621,23-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.3245,1/23/2013,243.7621,243.7621,0.24%,8.30749E-10,2.88227E-05,-0.177%,1.34864E-08,0.000116131
118531,Franklin India Bluechip Fund- Direct - Growth,241.8229,239.4047,241.8229,24-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.4047,1/24/2013,241.8229,241.8229,-0.80%,9.51824E-09,9.75615E-05,-0.344%,5.08879E-08,0.000225584
118531,Franklin India Bluechip Fund- Direct - Growth,243.6115,241.1754,243.6115,25-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.1754,1/25/2013,243.6115,243.6115,0.74%,8.22888E-09,9.07132E-05,0.278%,3.35716E-08,0.000183226
118531,Franklin India Bluechip Fund- Direct - Growth,243.6142,241.1781,243.6142,28-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.1781,1/28/2013,243.6142,243.6142,0.00%,1.84802E-14,1.35942E-07,0.477%,9.90527E-08,0.000314726
118531,Franklin India Bluechip Fund- Direct - Growth,242.2158,239.7936,242.2158,29-Jan-13,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.7936,1/29/2013,242.2158,242.2158,-0.57%,4.95789E-09,7.04123E-05,-0.348%,5.28688E-08,0.000229932
