scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1
118531,Franklin India Bluechip Fund- Direct - Growth,238.3444,235.961,238.3444,01-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,235.961,2013-01-01,238.3444,238.3444
118531,Franklin India Bluechip Fund- Direct - Growth,239.4858,237.0909,239.4858,02-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.0909,2013-01-02,239.4858,239.4858
118531,Franklin India Bluechip Fund- Direct - Growth,240.4566,238.052,240.4566,03-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.0520,2013-01-03,240.4566,240.4566
118531,Franklin India Bluechip Fund- Direct - Growth,240.8963,238.4873,240.8963,04-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.4873,2013-01-04,240.8963,240.8963
118531,Franklin India Bluechip Fund- Direct - Growth,240.7371,238.3297,240.7371,07-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.3297,2013-01-07,240.7371,240.7371
118531,Franklin India Bluechip Fund- Direct - Growth,240.9414,238.532,240.9414,08-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.5320,2013-01-08,240.9414,240.9414
118531,Franklin India Bluechip Fund- Direct - Growth,240.8438,238.4354,240.8438,09-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.4354,2013-01-09,240.8438,240.8438
118531,Franklin India Bluechip Fund- Direct - Growth,240.33,237.9267,240.33,10-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.9267,2013-01-10,240.33,240.33
118531,Franklin India Bluechip Fund- Direct - Growth,239.8757,237.4769,239.8757,11-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.4769,2013-01-11,239.8757,239.8757
118531,Franklin India Bluechip Fund- Direct - Growth,242.8379,240.4095,242.8379,14-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,240.4095,2013-01-14,242.8379,242.8379
118531,Franklin India Bluechip Fund- Direct - Growth,244.1015,241.6605,244.1015,15-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.6605,2013-01-15,244.1015,244.1015
118531,Franklin India Bluechip Fund- Direct - Growth,241.9948,239.5749,241.9948,16-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.5749,2013-01-16,241.9948,241.9948
118531,Franklin India Bluechip Fund- Direct - Growth,243.8084,241.3703,243.8084,17-Jan-2013,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.3703,2013-01-17,243.8084,243.8084
